AuthorVerbeke,Mathias 0.200000
AuthorHairetakis,Nikolaos 0.200000
AuthorMuhr,Rudolf 0.200000
AuthorProlo,Carlos A. 0.200000
AuthorMistica,Meladel 0.200000
AuthorFuji,Masaru 0.200000
AuthorDe Lisio,G. 0.200000
AuthorZhou,Yujian 0.200000
AuthorVeenstra,Jorn 0.200000
AuthorNaim,Iftekhar 0.200000
AuthorCasas,Bernardino 0.200000
AuthorSantaholma,Marianne 0.200000
AuthorNioche,Julien 0.200000
AuthorBaker,Rachel 0.200000
AuthorTen Hacken,Pius 0.200000
AuthorSun,Chengjie 0.200000
AuthorAnberbir,Tadesse 0.200000
AuthorZissman,Marc 0.200000
AuthorBion,Ricardo Augusto Hoffmann 0.200000
AuthorTihanyi,L&aacute;szl&oacute; 0.200000
AuthorChaudhary,Mark 0.200000
AuthorMendes,Carlos 0.200000
AuthorYoshikawa,Katsumasa 0.200000
AuthorHuang,Minlie 0.200000
AuthorBourguignon,C. 0.200000
AuthorGlava&Aring;&iexcl;,Goran 0.200000
AuthorAndreas,Jacob 0.200000
AuthorHill,Felix 0.200000
AuthorSun,Xu 0.200000
AuthorAronson,Alan R. 0.200000
AuthorVeronis,Jean 0.203265
AuthorVargas-Vera,Maria 0.200000
AuthorMohania,Mukesh 0.200000
AuthorChen,Ken 0.200000
AuthorAgarwalla,Lalit 0.200000
AuthorAussenac-Gilles,Nathalie 0.200000
AuthorZhao,Yanyan 0.200000
AuthorLee,Sang-Jo 0.200000
AuthorCai,Peng 0.200000
AuthorSandu,Oana 0.200000
AuthorHe,Xiangnan 0.200000
AuthorIttoo,Ashwin 0.200000
AuthorJohannessen,Janne Bondi 0.200000
AuthorStantcheva,Diana 0.200000
AuthorLin,Shu-Yen 0.200000
AuthorSarkar,Kamal 0.200000
AuthorKasterpalu,Riina 0.200000
AuthorKhan,Imtiaz Hussain 0.200000
AuthorPatin,Ga&euml;l 0.200000
AuthorWang,Jun-Tin 0.200000
AuthorCasamayor,Gerard 0.200000
AuthorStrebkov,Dmitry 0.200000
AuthorDang,Hoa Trang 0.200000
AuthorDavis,Alexandre 0.200000
AuthorFutagi,Yoko 0.200000
AuthorMartens,Scott 0.200000
AuthorBogdanova,Dasha 0.200000
AuthorKongthon,Alisa 0.200000
AuthorSagi,Jacob S. 0.200000
AuthorLe Nir,Yannick 0.200000
AuthorOehrle,Richard T. 0.200000
AuthorYallop,Jeremy 0.200000
AuthorGerber,Adam 0.200000
AuthorMyllari,Aleksandr 0.200000
Authorde la Higuera,Colin 0.200000
AuthorNarayanan,Ramanathan 0.200000
AuthorBroker,Norbert 0.200000
AuthorCapman,Fran&ccedil;ois 0.200000
AuthorHwa,Rebecca 0.200941
AuthorShareghi,Ehsan 0.200000
AuthorGrigoriev,Nikolai 0.200000
AuthorRiezler,Stefan 0.200941
AuthorBashyam,Vijayaraghavan 0.200000
Authorde Gemmis,Marco 0.200000
AuthorWang,Danmei 0.200941
AuthorBerlin,Sebastian 0.200000
AuthorSoliast,Teresa 0.200000
AuthorRimon,Mori 0.200000
AuthorGoldman,Seth R. 0.200000
AuthorMitkov,Ruslan 0.200000
AuthorGantner,Zeno 0.200000
AuthorTagliamonte,Sali 0.200000
AuthorPackard,David W. 0.200000
AuthorVera,David 0.200000
AuthorValencia,A. 0.200000
AuthorServan,Christophe 0.200000
AuthorOg&oacute;rkiewicz,Jerzy 0.200000
AuthorNeuhaus,H. Joachim 0.200000
AuthorKando,Noriko 0.200000
AuthorDillenbourg,Pierre 0.200000
AuthorKao,Ting-Hui 0.200000
AuthorChung,Hee Sung 0.200000
AuthorRim,Hae-Chang 0.200000
AuthorClark,Peter 0.200000
AuthorScotch,Matthew 0.200000
AuthorSmith,Aaron 0.200000
AuthorItami,Makoto 0.200000
AuthorBeard,Rachel 0.200000
AuthorPalau,Raquel Mochales 0.200000
AuthorSleeman,Jennifer 0.200000
AuthorKlinger,Allen 0.200000
AuthorSimov,Kiril 0.200000
AuthorMatsuoka,Yukiko 0.200000
AuthorRottmann,Kay 0.200000
AuthorRentzepopoulos,Panagiotis A. 0.200000
AuthorZhou,Junsheng 0.200000
AuthorKopp,Stefan 0.200000
AuthorSager,Naomi 0.200000
AuthorPan,Ching-Fen 0.200000
AuthorJohnson,Mark 0.200941
AuthorShortliffe,Edward H. 0.200000
AuthorBramsen,Philip 0.200000
AuthorFissaha,Sisay 0.200000
AuthorChen,Jiajun 0.200000
AuthorGleim,Rudiger 0.200000
AuthorLuke,Kang-Kwong 0.200000
AuthorDwyer,Kenneth 0.200000
AuthorLiebrecht,Christine 0.200000
AuthorHeines,Jesse M. 0.200000
AuthorMiceli Barone,Antonio Valerio 0.200000
AuthorD&#x92;hoore,Bart 0.200000
AuthorMey,Jacob 0.200000
AuthorMerkel,Magnus 0.200000
AuthorRamakrishnan,IV 0.200000
AuthorMakino,Megumi 0.200000
AuthorPapp,Ferenc 0.200000
AuthorChen,Benjamin L. 0.200000
AuthorSaito,Kuniko 0.200000
AuthorRaxis,Plovios 0.200000
AuthorDe La Clergerie,Eric Villemonte 0.200000
AuthorYang,Zhenglu 0.200000
AuthorGe,Niyu 0.200000
AuthorBavelas,Janet 0.200000
AuthorJohannsen,Anders 0.200000
AuthorQian,Ting 0.200000
AuthorZhou,Shuchang 0.200000
AuthorChristian,Gwen 0.200000
AuthorLee,Yoong Keok 0.200000
AuthorPark,Junsik 0.200000
AuthorKaiser,Elsi 0.200000
AuthorRoux,Claude 0.200000
AuthorGiesbers,Charlotte 0.200000
AuthorZuidema,Willem 0.200000
AuthorBorin,Lars 0.200000
AuthorElKateb,Sabry 0.200000
AuthorMatsuoka,Jin 0.200000
AuthorKim,Jihie 0.200000
AuthorPreuÃŸ,Susanne 0.200000
AuthorMatkarimov,Bakhyt 0.200000
AuthorFell,Harriet 0.200000
AuthorReiplinger,Melanie 0.200000
AuthorSun,Chuen-Tsai 0.200000
AuthorDing,Shilin 0.200000
AuthorHarth,Andreas 0.200000
AuthorNir,Bracha 0.200000
AuthorZhou,Shichun 0.200000
AuthorHellan,Lars 0.200000
AuthorDeng,Zhi-Hong 0.200000
AuthorPark,Jong C. 0.200000
AuthorHuggins-Daines,David 0.200000
AuthorXia,Fei 0.200000
AuthorL' Homme,Marie-Claude 0.200000
AuthorReeker,Larry H. 0.200000
AuthorLipenkova,Janna 0.200000
AuthorRamani,Arun 0.200000
AuthorRitter,Alan 0.200000
AuthorJones,Mark Alan 0.200000
AuthorHaulrich,Martin 0.200000
AuthorRelano Gil,Jose 0.200000
AuthorPei,Fei 0.200000
AuthorGomes,Paulo 0.200000
AuthorSuzuki,Masaru 0.200000
AuthorMartin,Lara 0.200000
AuthorJha,Sneha 0.200000
AuthorYosef,Mohamed Amir 0.200000
AuthorOhyama,Yutaka 0.200000
AuthorCerrato Pargman,Teresa 0.200000
AuthorTong,Xiang 0.200000
AuthorScarfini,Daniele 0.200000
AuthorTzoukermann,Evelyne 0.209412
AuthorFaralli,Stefano 0.200000
AuthorHirst,Graeme 0.200941
AuthorSj&ouml;bergh,Jonas 0.200000
AuthorShacham,Danny 0.200000
AuthorChang,Sueming 0.200000
AuthorCunningham,Hamish 0.200000
AuthorColognese,Alberto 0.200000
AuthorShrestha,Niraj 0.200000
AuthorNakata,Yosuke 0.200000
AuthorDuchier,Denys 0.200000
AuthorDasgupta,Anirban 0.200000
AuthorBarrault,LoÃ¯c 0.200000
AuthorYasuhara,Hiroshi 0.200000
AuthorHsiung,Alain 0.200000
AuthorPadrÃ³,LluÃ­s 0.200000
AuthorFrank,Geoffrey 0.200000
AuthorZhang,Bin 0.200000
AuthorBurnett,Neil 0.200000
AuthorWasson,Mark 0.200000
AuthorTeregowda,Pradeep 0.200000
AuthorSurendran,Dinoj 0.200000
AuthorBaugh,Wesley 0.200000
AuthorDaude,J. 0.200000
AuthorGuo,Hong Lei 0.200000
AuthorDescles,Jean Pierre 0.200000
AuthorSrihari,Rohini K. 0.200000
AuthorGrady,Catherine 0.200000
AuthorDas Gracas Volpe Nunes,Maria 0.200000
AuthorBilling Jr.,Floyd H. 0.200000
AuthorKamps,Thomas 0.200000
AuthorDilger,Werner 0.200000
AuthorClarke,James 0.200000
AuthorGarcia-Vega,Manuel 0.200000
AuthorIsahara,Hitoshi 0.200000
AuthorAngelova,Galia 0.200000
AuthorAttokurov,Ulukbek 0.200000
AuthorFan,Jianping 0.200000
AuthorPaik,Kyonghee 0.200000
AuthorRei,Marek 0.200000
AuthorSelfridge,Ethan 0.200000
AuthorCea,Guadalupe Aguado de 0.200000
AuthorBurns,Ron 0.200000
AuthorSugimura,Ryochi 0.200000
AuthorKulkarni,Ojas 0.200000
AuthorFritzson,Richard 0.200000
AuthorCaropreso,Maria Fernanda 0.200000
Author&Scaron;kodov&aacute;,Svatava 0.200000
AuthorMunson,Sean 0.200000
AuthorKuipers,Benjamin 0.200000
AuthorBurstein,Jill 0.200000
AuthorPolguere,Alain 0.200000
AuthorMeng,Weiyi 0.200000
AuthorDaugherty,Jeffrey 0.200000
AuthorSalway,Andrew 0.200000
AuthorRing,Lazlo 0.200000
AuthorSimon,Petr 0.200000
AuthorLilley,Jason 0.200000
AuthorArtigas,Nuria 0.200000
AuthorPe&ntilde;a,Elizabeth 0.200000
AuthorParkes,Cornelia H. 0.200000
AuthorRegelson,Moira 0.200000
AuthorMandala,Rila 0.200000
AuthorShayganfar,Mohammad 0.200000
AuthorFriedman,Lauren 0.200000
AuthorYou,Hyunjo 0.200000
AuthorHe,He 0.200000
AuthorPapalexakis,Evangelos 0.200000
AuthorBingQuan,Liu 0.200000
AuthorProkopi,Vassiliki 0.200000
AuthorYan,Hong 0.200000
AuthorFrank,Stella 0.200000
AuthorSong,Qinbao 0.200000
AuthorDermatas,Evangelos 0.200000
AuthorKivimÃ¤ki,Ilkka 0.200000
AuthorMulligan,Michael 0.200000
AuthorSeppanen,Jouko J. 0.200000
AuthorK&auml;&auml;ri&auml;inen,Matti 0.200000
AuthorTambouratzis,Dimitrios 0.200000
AuthorPathak,Parth 0.200000
AuthorFahmy,Aly 0.200000
AuthorKustner,Andreas 0.200000
AuthorChen,Jinying 0.200000
AuthorDavis,Neil 0.200000
AuthorKors,Jan 0.200000
AuthorBejar,Isaac 0.200000
AuthorCaminero,Rizza 0.200000
AuthorBÃ©chet,Denis 0.200000
AuthorLeon,Fernando Sanchez 0.200000
AuthorWang,Xuancong 0.200000
AuthorCastells,Pablo 0.200000
AuthorWaller,Annalu 0.200000
AuthorMalandrakis,NIkos 0.200000
AuthorKongyoung,Sarawoot 0.200000
AuthorGreiner,Paul 0.200000
AuthorMoreno,Lidia 0.200000
AuthorRudnicky,A. 0.200000
AuthorHodson,James 0.200000
AuthorLiu,Changsong 0.200000
AuthorMoraes,Silvia 0.200000
AuthorLee,Sunyou 0.200000
AuthorWeiss,Stephen F. 0.200000
AuthorRivera,Robert 0.200000
AuthorGotze,Michael 0.200000
AuthorNowak,Robert 0.200000
AuthorFranz,Martin 0.200000
AuthorMcCallum,Anthony 0.200000
AuthorColban,Erik 0.200000
AuthorFelt,Paul 0.200000
AuthorMcDonald,Scott 0.200000
AuthorOâ€™Donnell,Timothy J. 0.200000
AuthorVenkataraman,Anand 0.200941
AuthorHenry,Katharine 0.200000
AuthorBecker,Israela 0.200000
AuthorWade,Heather 0.200000
AuthorBarr,Valerie 0.200000
AuthorIshioka,Tsunenori 0.200000
AuthorBartsch,Sabine 0.200000
AuthorZhang,Ruiqiang 0.200000
AuthorVetere,Guido 0.200000
AuthorLopez Garcia,Vanessa 0.200000
AuthorPak,Seok Mun 0.200000
AuthorRahimtoroghi,Elahe 0.200000
AuthorAndersson,Mikael 0.200000
AuthorRozovskaya,Alla 0.200000
AuthorEngelbrecht,Herman A. 0.200000
AuthorWagner,Joachim 0.200000
AuthorRedington,Martin 0.200000
AuthorDoan-Nguyen,Hai 0.200000
AuthorWaldhauser,Christoph 0.200000
AuthorZhang,Jie 0.200000
AuthorSemenkin,Eugene 0.200000
AuthorJorgensen,Joseph 0.200000
AuthorTagarelli,Andrea 0.200000
AuthorJuneja,Vishal 0.200000
AuthorRak,Rafal 0.200000
AuthorItoh,Toshihiko 0.200000
AuthorChen,Huan 0.200000
AuthorKamochi,Shuntaro 0.200000
AuthorAsgari,Ehsaneddin 0.200000
AuthorBozhanov,Bozhidar 0.200000
AuthorHasegawa,Takayuki 0.200000
AuthorHuval,Brody 0.200000
AuthorZelon,Harvey 0.200000
AuthorLeisma,Henri 0.200000
AuthorFernÃ¡ndez,Javi 0.200000
AuthorBennett,Winfield S. 0.200000
AuthorLim,Lian Tze 0.200000
AuthorMeystre,St&eacute;phane 0.200000
AuthorLupinetti,Domenico 0.200000
AuthorBiewer,Axel 0.200000
AuthorKnas,Iwona 0.200000
AuthorB&Atilde;&para;rschinger,Benjamin 0.200000
AuthorFulford,Heather 0.200000
AuthorCodina,Joan 0.200000
AuthorAlves,Eduardo de Paiva 0.200000
AuthorWhite,Michael 0.200941
AuthorHsu,Chan-Chia 0.200000
AuthorRajasekaran,Sanguthevar 0.200000
AuthorAufaure,Marie-Aude 0.200000
AuthorFeblowitz,Dan 0.200000
AuthorTrnka,Mari&aacute;n 0.200000
AuthorZhuge,Hai 0.200000
AuthorCrowston,Kevin 0.200000
AuthorPark,Youngja 0.200000
AuthorConrath,Juliette 0.200000
AuthorNiu,Cheng 0.200000
AuthorBadaskar,Sameer 0.200000
AuthorLudovik,Yevgeny 0.200000
AuthorKepler,Fabio Natanael 0.200000
AuthorDebili,Fathi 0.200000
AuthorPilÃ¡n,IldikÃ³ 0.200000
AuthorBrown,Susan Windisch 0.200000
AuthorRector,Alan 0.200000
AuthorMitsui,Matthew 0.200000
AuthorZhang,Fen 0.200000
AuthorCui,Qing 0.200000
AuthorBola&ntilde;os,Daniel 0.200000
AuthorTran,Anh 0.200000
AuthorAkÄ±n,Ahmet AfÅŸÄ±n 0.200000
AuthorPrasad,Vinay 0.200000
AuthorD&iacute;az de Ilarraza,Arantza 0.220000
AuthorSarasola,K. 0.200000
AuthorM. Dieb,Thaer 0.200000
AuthorCallison-Burch,Chris 0.200000
AuthorHorn,Colby 0.200000
AuthorNg,Jun-Ping 0.200000
AuthorSeifridge,Mallory 0.200000
AuthorDenecke,Matthias 0.200000
AuthorAnanthakrishnan,Sankaranarayanan 0.200000
AuthorKarami,Amir 0.200000
AuthorTanenblatt,Michael 0.200000
AuthorKelly,Maria 0.200000
AuthorLin,Yuen Q. 0.200000
AuthorJacobs,Robert 0.200000
AuthorGatt,Albert 0.200000
AuthorSarkar,Sudeshna 0.200000
AuthorGolik,Wiktoria 0.200000
AuthorChen,Yirong 0.200000
AuthorWu,Yueh-Cheng 0.200000
AuthorKyaw Thu,Ye 0.200000
AuthorKawai,Yukiko 0.200000
AuthorNirenburg,Irene B. 0.200000
AuthorLiang,Shao Fen 0.200000
AuthorShoen,Jay 0.200000
AuthorGonz&aacute;lez,Meritxell 0.200000
AuthorTrost,Harald 0.200000
AuthorMitchener,W. Garrett 0.200000
AuthorZalk,Marion 0.200000
AuthorHerrera,Jesus 0.200000
AuthorOliveira,Paulo C F de 0.200000
AuthorMeunier,Frederic 0.200000
AuthorKazemi,Mohammad 0.200000
AuthorHeintz,Ilana 0.200000
AuthorKapur,Shyam 0.200000
AuthorFangxi,Zhang 0.200000
AuthorHuang,Changning 0.200000
AuthorGyawali,Bikash 0.200000
AuthorEnache,Ramona 0.200000
AuthorSahlgren,Magnus 0.200000
AuthorAbdalla,Rashid M. 0.200000
AuthorPettersson,Eva 0.200000
AuthorGrimes,Stephen 0.200000
AuthorSanders,Ted 0.200000
AuthorMomchev,Vassil 0.200000
AuthorLi,Yize 0.200000
AuthorMullen,Abigail 0.200000
AuthorDas,Dipankar 0.200000
AuthorFantino,Fabio 0.200000
AuthorMcKenna,Mary 0.200000
AuthorVauquois,Bernard 0.200000
AuthorShiwen,Yu 0.200000
AuthorElworthy,David 0.200000
AuthorMitchell,Christopher 0.200000
AuthorCardenas,Marina 0.200000
AuthorBekavac,Bozo 0.200000
AuthorHsu,Wei-Tek 0.200000
AuthorMurveit,Hy 0.200000
AuthorRusso,Irene 0.200000
AuthorHansen,Dorte H. 0.200000
AuthorXiaoqi,Xu 0.200000
AuthorPautler,David 0.200000
AuthorGertner,Yael 0.200000
AuthorChong,Tze Yuang 0.200000
AuthorOnman,Chanon 0.200000
AuthorSanchis Trilles,GermÃ¡n 0.200000
AuthorSouflis,Dimitris 0.200000
AuthorJiampojamarn,Sittichai 0.200000
AuthorLaxman,Srivatsan 0.200000
AuthorLo,Chi-kiu 0.200000
AuthorGhayoomi,Masood 0.200000
AuthorJimenez-Salazar,Hector 0.200000
AuthorSchauble,Peter 0.200000
AuthorOstendorf,Mari 0.200000
AuthorNettleton,D. J. 0.200000
AuthorKrÃ¶ll,Mark 0.200000
AuthorMoody,John 0.200000
AuthorDing,Yung-Wei 0.200000
AuthorCurrier,Patricia A. 0.200000
AuthorKameda,Masayuki 0.200000
AuthorGaikwad,Upasana 0.200000
AuthorGiuliano,Claudio 0.200000
AuthorWu,Qiang 0.200000
AuthorG&Atilde;ƒ&Acirc;&sup3;mez-Rodr&Atilde;ƒ&Acirc;,Carlos 0.200000
AuthorRinggaard,Michael 0.200000
AuthorRowe,Glenn 0.200000
AuthorKass,Ariel 0.200000
AuthorHodgins,Jessica K. 0.200000
AuthorHoepelman,J. Ph. 0.200000
AuthorFarr&eacute;,Jacques 0.200000
AuthorDiesner,Jana 0.200000
AuthorGhasemi,Alireza 0.200000
AuthorDimitrova,Ludmila 0.200000
AuthorSonntag,Jonathan 0.200000
AuthorSelmer,Ã˜yvind 0.200000
AuthorLin,Cindy Xide 0.200000
AuthorClemmer,Alex 0.200000
AuthorSoica,Emilia 0.200000
AuthorDyer,Chris 0.200000
AuthorJawaid,Bushra 0.200000
AuthorKubler,Natalie 0.200000
Authorvan der Goot,Erik 0.200000
AuthorClark,Robert A. J. 0.200000
AuthorL&Atilde;&sup3;pez-Lude&Atilde;&plusmn;a,Ver&Atilde;&sup3;nica 0.200000
AuthorWu,Siew Mei 0.200000
AuthorNg,Andrew Y. 0.200941
AuthorSteinacker,Ingeborg 0.200000
AuthorBrinkmann,Karl-Heinz 0.200000
AuthorOkita,Tsuyoshi 0.200000
AuthorMeena,Raveesh 0.200000
AuthorKnoeferle,Pia 0.200000
AuthorCompton,Paul 0.200000
AuthorWang,Aobo 0.200000
AuthorNakabasami,Chieko 0.200000
AuthorAlegre,Martha A. 0.200000
AuthorHirschberg,Julia 0.200941
AuthorPal,Santanu 0.200000
AuthorStraka,Milan 0.200000
AuthorNeumann,Gerald 0.200000
AuthorRao,Rajesh P. N. 0.200000
AuthorSuzuki,Kenji 0.200000
AuthorSinha,Sitabhra 0.200000
AuthorFarwell,David 0.200000
AuthorDavis,Brian 0.200000
AuthorChernobrov,Daniel 0.200000
AuthorLudwig,Bernd 0.200000
AuthorKleinschmidt,Dave 0.200000
AuthorDichy,Joseph 0.200000
AuthorHukari,Thomas E. 0.200000
AuthorSan Vicente,I&ntilde;aki 0.200000
AuthorQiu,Minghui 0.200000
AuthorWiebe,Eric 0.200000
AuthorLi,Haibo 0.200000
Authorren,yafeng 0.200000
AuthorGormley,Matthew R. 0.200000
AuthorHua,Zhenhao 0.200000
AuthorSolberg,Per Erik 0.200000
AuthorYamaoka,Takayuki 0.200000
AuthorTurnbull,Rory 0.200000
AuthorRubenstein,Alan 0.200000
AuthorSzymanik,Jakub 0.200000
AuthorElder,Elizabeth 0.200000
AuthorVanLehn,Kurt 0.200000
AuthorSontag,David 0.200000
AuthorDjomkam,Smith 0.200000
AuthorGregoromichelaki,Eleni 0.200000
AuthorGiachin,Egidio 0.200000
AuthorVitanova,Irena 0.200000
AuthorKrenn,Brigitte 0.200000
AuthorLopes,Gabriel 0.200000
AuthorFriedman,Carol 0.200000
AuthorButt,Miriam 0.200000
AuthorYang,Jian 0.200000
AuthorPayne,Thomas E. 0.200000
Author,lemao 0.200000
AuthorMoszczynski,Rados Aw 0.200000
AuthorDuan,Lei 0.200000
AuthorEmam,Ossama 0.232000
AuthorWitt,Andreas 0.200000
AuthorSeipel,Dietmar 0.200000
AuthorWalker,Donald E. 0.200000
AuthorRobichaud,BenoÃ®t 0.200000
AuthorEishold,Florian 0.200000
AuthorGoetze,Stefan 0.200000
AuthorFisher,Cynthia 0.200000
AuthorVassiliou,Marina 0.200000
AuthorWang,Jingqi 0.200000
AuthorBlackburn,Patrick 0.200000
AuthorKita,Kenji 0.200000
AuthorSimard,Michel 0.200000
AuthorGalanis,Dimitrios 0.200000
AuthorSellberg,Linus 0.200000
AuthorWibberley,Simon 0.200000
AuthorEngonopoulos,Nikolaos 0.200000
AuthorCohen,Philip R. 0.211429
AuthorLiebowitz Taylor,Suzanne 0.200000
AuthorZhao,Lian 0.200000
AuthorMcConvell,Patrick 0.200000
AuthorHabel,Christopher U. 0.220000
AuthorGlachin,Egidio P. 0.200000
AuthorJi,Gang 0.200000
AuthorYu,Jiangde 0.200000
AuthorChen,Qing 0.200000
AuthorRazavi,Marzieh 0.200000
AuthorZelaia,Ana 0.200000
AuthorRosengren,Emily 0.200000
AuthorZhao,Xin 0.200000
AuthorBui,Trung H. 0.200000
AuthorZhang,Jian 0.200000
AuthorR. McGrath,Liam 0.200000
AuthorHogan,Christopher 0.200000
AuthorBallard,Bruce W. 0.200000
AuthorLukin,Stephanie 0.200000
AuthorTalley,Edmund 0.200000
AuthorAdams,Keith 0.200000
AuthorMo,Jinghui 0.200000
AuthorJesney,Karen 0.200000
AuthorKalt,Tom 0.200000
AuthorSatta,Giorgio 0.200000
AuthorYamane,Masaya 0.200000
AuthorSanchis,Alberto 0.200000
AuthorKl&uuml;wer,Tina 0.200000
AuthorHu,Shen 0.200000
AuthorWelgama,Viraj 0.200000
AuthorGong,Yihong 0.200000
AuthorGroenendijk,Marius 0.200000
AuthorJannedy,Stefanie 0.200000
AuthorRaamadhurai,Srikrishna 0.200000
AuthorCormode,Graham 0.200000
AuthorBeller,Gregory 0.200000
AuthorBengio,Samy 0.200000
AuthorAgbago,Akakpo 0.200000
AuthorBÃ¶gel,Tina 0.200000
AuthorZeng,Guangping 0.200000
AuthorKong,Fang 0.200000
AuthorWestbrook,David 0.200000
AuthorCh&Atilde;&iexcl;vez,Alexander 0.200000
AuthorBurge,John 0.200000
AuthorHernandez-Lopez,Daniel 0.200000
AuthorSameti,Hossein 0.200000
AuthorWallace,Dorcas 0.200000
AuthorKim,Jin-Dong 0.200000
AuthorHernaez,Inma 0.200000
AuthorPoupart,Pascal 0.200000
AuthorVan Erp,Marieke 0.200000
AuthorPreller,Anne 0.200000
AuthorDetering,Klaus 0.200000
AuthorOkada,Naoyuki 0.200000
AuthorHe,Tingting 0.200000
AuthorHan,Xu 0.200000
AuthorMoran,Sean 0.200000
AuthorTcheou,Francois 0.200000
AuthorFrederking,Robert E. 0.200000
AuthorChatzitheodorou,Konstantinos 0.200000
AuthorSiegel,Melanie 0.200000
AuthorKhudanpur,Sanjeev P. 0.200000
AuthorBoon,Miriam 0.200000
AuthorO'Reilly,Tenaha 0.200000
AuthorRoth,Robert 0.200000
AuthorLiu,Chao-Lin 0.200000
AuthorLuk,Alpha K. 0.200000
AuthorAhmed,Tafseer 0.200000
AuthorCrivaro,Michael 0.200000
AuthorBu&szlig;,Okko 0.200000
AuthorIsard,Stephen 0.200000
AuthorMin,Kyongho 0.200000
AuthorRosti,Antti-Veikko 0.200000
AuthorKatz,Karen 0.200000
AuthorTomÃ¡s,David 0.200000
AuthorMuller,Philippe 0.200000
AuthorBlock,Russell 0.200000
AuthorSarkar,Anoop 0.200000
AuthorSolway,Ben 0.200000
AuthorVillalba,Martin 0.200000
AuthorZhong,Zhi 0.200000
AuthorGrundkiewicz,Roman 0.200000
AuthorHastings,Peter M. 0.200000
AuthorWu,Leon 0.200000
AuthorGrandchamp,Jean-Michel 0.200000
AuthorYu,Jia 0.200000
AuthorLim,Heui-Seok 0.200000
AuthorYu,Jin 0.200000
AuthorNishida,Fujio 0.200000
AuthorDoval,Yerai 0.200000
AuthorStephan,Jens 0.200000
AuthorRood,Travis 0.200000
AuthorTornita,Masaru 0.200000
AuthorHuang,Xuedong 0.200000
AuthorAkkaya,Cem 0.200000
AuthorAbrash,Victor 0.200000
AuthorDeng,Li 0.200000
AuthorNeugebauer,Moritz 0.200000
AuthorVan Gemert,Jan 0.200000
AuthorKo,Jeongwoo 0.200000
AuthorYeh,Ching-Long 0.200000
AuthorVoll,Kimberly 0.200000
AuthorBen Hamadou,Abdelmajid 0.200000
AuthorZhang,Ping 0.200000
AuthorQuixal,Mart&iacute; 0.200000
AuthorMin,Congmin 0.200000
AuthorLavecchia,Caroline 0.200000
AuthorHahn,Udo 0.200941
AuthorChia,Ching-Yi 0.200000
AuthorHuang,Yunfeng 0.200000
AuthorSepp&Atilde;&curren;l&Atilde;&curren;,Selja 0.200000
AuthorPalme,Jacob 0.200000
AuthorHartung,Matthias 0.200000
AuthorUzuhara,Shigeru 0.200000
AuthorZhang,Zhenzhong 0.200000
AuthorZens,Richard 0.200000
AuthorHagiwara,Masato 0.200000
AuthorBasterrechea,Eduardo 0.200000
AuthorCassell,Justine 0.200000
AuthorQi,Guojun 0.200000
AuthorZhao,Li 0.200000
AuthorLi,Jin-Ji 0.200000
AuthorParlikar,Alok 0.200000
AuthorHuang,ChaoChao 0.200000
AuthorChakaravarthy,Venkatesan T. 0.200000
AuthorRadzin,Hilda 0.200000
AuthorSachdeva,Kunal 0.200000
AuthorAggarwal,R. K. 0.200000
AuthorVaturi,Sylvain 0.200000
AuthorZubizarreta Aizpuru,J. R. 0.200000
AuthorChen,Chien Chin 0.200000
AuthorBenamara,Farah 0.200000
AuthorTeo,Leong Hwee 0.200000
AuthorTellier,Marion 0.200000
AuthorHajime,MOCHIZUKI 0.200000
AuthorScholz,Mario 0.200000
AuthorYang,Yunlun 0.200000
AuthorCelce Murica,Marianne 0.200000
AuthorKlingberg,Tor 0.200000
AuthorMINO,Hideya 0.200000
AuthorDierkes,Glenn 0.200000
AuthorTesconi,Maurizio 0.200000
AuthorKerimov,Ruslan 0.200000
AuthorGraff,David 0.200000
AuthorFujita,Sumio 0.200000
AuthorSlud,Eric 0.200000
AuthorZhang,Yang 0.200000
AuthorBrockman,Will 0.200000
AuthorDragut,Eduard 0.200000
AuthorZaragoza,Hugo 0.200000
AuthorZhuang,Tao 0.200000
AuthorYutaka,MITSUISHI 0.200000
AuthorMatthews,Austin 0.200000
AuthorPoveda,Jordi 0.200000
AuthorJaakkola,Tommi 0.200000
AuthorLudovik,Eugene 0.200000
AuthorBÃ–rschinger,Benjamin 0.200000
AuthorHermet,Matthieu 0.200000
AuthorDai,Xiangying 0.200000
AuthorWhitehead,Simon 0.200000
AuthorShuldberg,Kelly 0.200000
AuthorKlimonow,Gerda 0.200000
AuthorWatkinson,Stephen 0.200000
AuthorVerzi,Steve J. 0.208000
AuthorRamakrishnamacharyulu,K. V. 0.200000
AuthorMaybury,Mark T. 0.200000
AuthorLutsky,Patricia 0.200000
AuthorLiu,Zengjian 0.200000
AuthorDolan,Charles P. 0.200000
AuthorTurcato,Davide 0.200000
AuthorAlves,Ana 0.200000
AuthorCook,Martin 0.200000
AuthorRamabhadran,Bhuvana 0.200000
AuthorBattistelli,Delphine 0.200000
AuthorHwang,Mei-Yuh 0.200000
AuthorMatsuyama,Kyoko 0.200000
AuthorKram&aacute;r,J&aacute;nos 0.200000
AuthorLagarrigue,Sandrine 0.200000
AuthorGrieser,Karl 0.200000
AuthorLiu,Yi-Kai 0.200000
AuthorJagadish,H. V. 0.200000
AuthorColes-Kemp,Lizzie 0.200000
